Date,cloudCover,apparentTemperatureMax,apparentTemperatureMin,temperatureMax,temperatureMin,windSpeed,humidity,visibility
2017-01-01,0.14,38.1,13.05,40.04,20.42,1.66,0.57,9.94
2017-01-02,0.13,42.83,10.83,42.83,18.19,0.85,0.68,9.74
2017-01-03,0.26,26.15,4.79,26.15,13.58,0.63,0.79,7.51
2017-01-04,0.26,14.04,-3.25,14.59,5.18,4.03,0.84,2.98
2017-01-05,0.2,5.95,-10.25,6.11,-1.19,1.37,0.78,5.03
2017-01-06,0.04,17.99,-17.57,20.38,-9.1,1.6,0.69,9.37
2017-01-07,0.06,22.9,-5.52,23.87,2.52,1.8,0.65,9.88
2017-01-08,0.07,44.55,7.59,46.29,14.66,1.89,0.58,9.51
2017-01-09,0.05,54.27,33.2,54.27,33.2,18.31,0.5,9.58
2017-01-10,0.02,39.39,25.08,46.37,32.52,11.83,0.38,9.84
2017-01-11,0.09,43.18,15.98,47.36,24.41,8.24,0.58,9.66
2017-01-12,0.17,34.86,16.36,34.93,22.39,1.2,0.69,9.11
2017-01-13,0.17,38.86,13.31,38.91,21.23,0.51,0.8,7.84
2017-01-14,0.13,40.3,16.92,40.3,23.67,0.95,0.79,8.4
2017-01-15,0.27,34.74,20.58,35.08,24.77,1.29,0.85,7.01
2017-01-16,0.33,35.17,21.15,35.17,28.52,2.58,0.87,6.21
2017-01-17,0.01,42.43,13.88,42.43,19.17,2.55,0.78,9.6
2017-01-18,0.04,50.07,17.76,50.07,22.54,2.08,0.51,9.96
2017-01-19,0.05,49.53,23.14,49.76,26.58,0.7,0.53,9.87
2017-01-20,0.16,42.59,25.34,42.88,28.93,1.38,0.68,9.62
2017-01-21,0.13,35.34,17.86,38.23,22.42,1.59,0.74,9.81
2017-01-22,0.08,40.35,21.5,43.14,27.26,2.04,0.45,9.94
2017-01-23,0.26,47.17,22.19,49.16,27.46,1.92,0.56,9.58
2017-01-24,0.27,27.91,12.91,30.09,19.6,3.2,0.86,8.69
2017-01-25,0.1,26.63,7.27,27.98,14.12,2.07,0.67,9.9
2017-01-26,0.11,26.45,0.65,26.45,10.49,1.34,0.56,9.87
2017-01-27,0.07,37.92,-2.3,39.18,8.65,1.19,0.41,9.97
2017-01-28,0.12,39.7,14.41,44.85,19.43,5.24,0.41,9.99
2017-01-29,0.04,56.35,27.36,56.35,32.25,6.92,0.31,10.0
2017-01-30,0.02,57.24,32.92,57.24,39.38,8.18,0.26,9.99
2017-01-31,0.07,58.92,32.89,58.92,36.73,3.91,0.25,9.95
2017-02-01,0.19,29.67,16.23,33.32,23.26,4.05,0.86,7.65
2017-02-02,0.34,25.11,14.15,25.11,22.02,2.39,0.91,7.4
2017-02-03,0.19,27.6,8.65,27.6,16.54,0.42,0.88,6.38
2017-02-04,0.05,53.28,22.2,53.28,27.7,11.26,0.43,9.33
2017-02-05,0.04,55.81,25.64,55.81,30.5,1.16,0.46,10.0
2017-02-06,0.07,55.5,31.88,55.5,34.91,8.47,0.33,9.87
2017-02-07,0.09,57.01,37.24,57.01,39.83,8.65,0.41,9.76
2017-02-08,0.08,53.08,34.39,53.08,41.05,12.47,0.35,9.83
2017-02-09,0.09,65.02,38.62,65.02,40.13,3.58,0.34,9.94
2017-02-10,0.02,72.16,54.22,72.16,54.22,9.32,0.22,9.89
2017-02-11,0.15,52.96,26.37,52.96,34.46,1.77,0.47,9.79
2017-02-12,0.16,44.91,25.27,44.91,30.26,2.18,0.56,9.8
2017-02-13,0.04,43.67,26.61,46.9,28.94,1.85,0.53,9.95
2017-02-14,0.0,42.85,20.82,47.05,24.68,1.77,0.42,10.0
2017-02-15,0.03,61.62,20.61,61.62,26.0,3.41,0.33,10.0
2017-02-16,0.02,68.82,34.15,68.82,37.54,3.14,0.19,9.98
2017-02-17,0.05,62.5,34.77,62.5,37.28,2.33,0.25,9.99
2017-02-18,0.04,59.85,32.61,59.85,36.03,1.16,0.37,10.0
2017-02-19,0.13,56.54,31.16,56.54,34.46,0.63,0.48,9.89
2017-02-20,0.06,58.44,29.81,58.44,37.33,5.43,0.29,10.0
2017-02-21,0.05,66.54,38.9,66.54,40.48,15.83,0.23,9.95
2017-02-22,0.12,54.39,32.95,54.39,32.95,0.78,0.4,9.9
2017-02-23,0.37,28.75,8.16,31.76,17.57,6.23,0.86,5.62
2017-02-24,0.2,23.51,9.13,23.51,15.95,1.62,0.79,7.68
2017-02-25,0.1,32.31,7.07,32.31,11.56,3.64,0.55,9.92
2017-02-26,0.04,38.29,12.65,38.31,15.79,0.94,0.41,9.99
2017-02-27,0.12,47.47,11.95,47.47,18.96,2.34,0.48,9.86
2017-02-28,0.17,31.02,13.51,35.76,24.5,1.71,0.59,9.34
2017-03-01,0.06,39.85,12.57,40.66,21.0,6.24,0.3,9.9
2017-03-02,0.06,45.72,20.09,49.61,23.58,4.68,0.32,10.0
2017-03-03,0.04,59.87,23.36,59.87,27.0,5.0,0.29,10.0
2017-03-04,0.06,64.89,28.43,64.89,32.63,3.72,0.23,9.96
2017-03-05,0.02,61.18,37.71,61.18,37.71,4.09,0.25,9.98
2017-03-06,0.19,41.72,13.6,47.64,25.22,15.71,0.29,9.69
2017-03-07,0.1,46.16,14.83,48.32,25.68,9.14,0.22,9.83
2017-03-08,0.05,61.61,31.5,61.61,36.99,6.68,0.25,9.89
2017-03-09,0.03,66.17,31.82,66.17,36.16,3.85,0.25,9.97
2017-03-10,0.05,59.78,24.55,59.78,27.34,1.23,0.49,9.99
2017-03-11,0.25,45.03,31.37,45.62,35.67,0.98,0.68,9.91
2017-03-12,0.12,55.88,26.57,55.88,32.05,4.39,0.54,9.85
2017-03-13,0.08,51.67,24.34,51.67,27.79,0.8,0.59,9.98
2017-03-14,0.05,66.16,40.67,66.16,42.46,4.57,0.32,9.99
2017-03-15,0.03,73.14,33.24,73.14,37.05,6.5,0.31,10.0
2017-03-16,0.02,71.1,42.87,71.1,45.88,6.6,0.21,9.97
2017-03-17,0.07,66.45,39.27,66.45,42.07,2.68,0.33,10.0
2017-03-18,0.04,76.34,33.69,76.34,36.74,1.63,0.37,10.0
2017-03-19,0.04,74.46,50.35,74.46,50.35,6.12,0.21,9.49
2017-03-20,0.06,70.88,47.73,70.88,49.83,2.76,0.24,10.0
2017-03-21,0.13,58.16,36.04,58.16,36.49,1.78,0.52,9.99
2017-03-22,0.03,66.26,36.08,66.26,36.08,0.37,0.54,9.98
2017-03-23,0.1,70.29,32.55,70.29,40.34,2.55,0.38,9.72
2017-03-24,0.27,51.29,24.49,51.29,34.61,11.35,0.65,9.57
2017-03-25,0.05,60.07,27.35,60.07,31.62,1.92,0.53,9.96
2017-03-26,0.25,46.67,38.46,49.47,40.51,2.77,0.69,9.74
2017-03-27,0.21,57.73,30.25,57.73,33.6,1.43,0.69,9.38
2017-03-28,0.41,43.47,29.21,43.47,37.28,9.29,0.88,8.91
2017-03-29,0.22,55.49,29.76,55.49,35.29,5.12,0.69,9.51
2017-03-30,0.12,63.18,32.01,63.18,34.04,0.34,0.59,9.96
2017-03-31,0.44,45.89,25.99,45.89,32.59,6.29,0.93,5.76
2017-04-01,0.44,40.54,22.91,40.63,28.99,1.44,0.87,8.23
2017-04-02,0.14,59.45,26.72,59.45,31.02,0.32,0.63,9.23
2017-04-03,0.15,54.65,30.48,54.65,35.04,4.05,0.53,9.55
2017-04-04,0.34,33.95,23.65,37.39,30.29,5.62,0.9,5.12
2017-04-05,0.09,51.74,20.9,51.74,25.13,1.86,0.57,9.72
2017-04-06,0.08,62.54,30.99,62.54,34.39,3.34,0.46,9.75
2017-04-07,0.04,71.79,38.94,71.79,41.13,5.5,0.37,9.96
2017-04-08,0.08,71.99,51.19,71.99,51.19,7.56,0.25,9.95
2017-04-09,0.08,51.88,31.33,51.88,38.47,13.22,0.36,9.87
2017-04-10,0.0,55.45,26.7,55.45,30.39,3.53,0.28,9.71
2017-04-11,0.02,65.27,26.8,65.27,30.78,1.96,0.32,9.87
2017-04-12,0.06,70.91,37.91,70.91,38.37,2.0,0.3,9.98
2017-04-13,0.05,73.9,37.04,73.9,40.0,3.45,0.39,9.97
2017-04-14,0.05,74.51,41.36,74.51,43.12,1.24,0.44,9.89
2017-04-15,0.09,65.89,39.94,65.89,41.04,3.65,0.36,10.0
2017-04-16,0.09,68.04,36.09,68.04,38.06,0.98,0.34,9.99
2017-04-17,0.05,71.98,38.03,71.98,40.64,2.38,0.34,9.98
2017-04-18,0.03,71.72,43.15,71.72,44.42,1.71,0.37,10.0
2017-04-19,0.08,65.79,43.8,65.79,46.14,6.54,0.47,9.85
2017-04-20,0.24,57.77,33.36,57.77,37.06,3.32,0.62,9.58
2017-04-21,0.23,40.75,34.27,45.0,36.47,5.01,0.85,9.04
2017-04-22,0.19,53.0,30.47,53.0,34.99,2.4,0.7,9.13
2017-04-23,0.02,71.07,34.03,71.07,36.9,2.4,0.5,9.71
2017-04-24,0.18,62.4,42.41,62.4,44.33,1.53,0.48,9.85
2017-04-25,0.17,52.45,26.43,52.45,32.78,3.85,0.68,9.52
2017-04-26,0.19,55.41,27.36,55.41,29.48,1.66,0.58,9.45
2017-04-27,0.18,50.83,34.42,50.83,36.85,4.55,0.67,9.39
2017-04-28,0.18,44.67,19.03,47.93,29.37,5.49,0.65,7.93
2017-04-29,0.37,25.77,19.46,32.03,28.02,8.63,0.88,4.75
2017-04-30,0.07,57.35,19.56,57.35,26.84,6.3,0.49,9.77
2017-05-01,0.22,60.63,38.37,60.63,40.26,5.27,0.46,9.79
2017-05-02,0.2,57.76,39.66,57.76,40.74,1.76,0.6,9.78
2017-05-03,0.27,53.5,30.29,53.5,36.63,2.4,0.71,9.39
2017-05-04,0.05,69.0,33.52,69.0,35.99,0.56,0.48,9.93
2017-05-05,0.04,75.23,43.43,75.23,43.43,0.88,0.41,9.94
2017-05-06,0.05,82.74,46.52,82.74,47.91,4.54,0.35,9.99
2017-05-07,0.05,74.24,51.69,74.24,51.69,2.8,0.44,9.93
2017-05-08,0.12,66.37,45.97,66.37,45.97,3.98,0.69,9.53
2017-05-09,0.18,60.45,46.73,60.45,48.38,0.52,0.8,9.32
2017-05-10,0.37,52.18,42.63,52.18,46.33,5.76,0.87,8.5
2017-05-11,0.28,61.95,41.41,61.95,43.87,3.02,0.72,9.39
2017-05-12,0.03,76.35,39.07,76.35,43.05,4.02,0.56,9.95
2017-05-13,0.05,80.0,45.59,80.0,46.41,2.55,0.43,9.99
2017-05-14,0.06,70.62,45.37,70.62,47.09,2.92,0.35,9.97
2017-05-15,0.05,75.36,47.41,75.36,47.41,1.4,0.41,9.99
2017-05-16,0.14,67.19,45.03,67.19,45.79,1.99,0.47,9.95
2017-05-17,0.17,67.58,34.37,67.58,39.99,2.9,0.57,9.52
2017-05-18,0.81,33.87,22.92,39.61,31.36,8.72,0.96,3.2
2017-05-19,0.43,33.31,24.37,38.84,31.84,7.42,0.88,7.13
2017-05-20,0.11,57.71,30.56,57.71,31.85,1.78,0.6,9.4
2017-05-21,0.13,61.82,36.57,61.82,37.62,1.55,0.61,9.57
2017-05-22,0.15,63.1,35.04,63.1,39.72,3.1,0.69,9.22
2017-05-23,0.22,57.78,32.3,57.78,37.08,6.47,0.56,9.49
2017-05-24,0.13,76.86,38.06,76.86,39.85,6.06,0.44,9.9
2017-05-25,0.15,65.56,47.36,65.56,47.36,3.2,0.49,9.84
2017-05-26,0.2,63.63,38.46,63.63,41.78,3.02,0.72,9.54
2017-05-27,0.4,50.94,37.61,50.94,40.67,3.62,0.78,9.74
2017-05-28,0.16,65.3,32.42,65.3,38.15,1.45,0.52,9.97
2017-05-29,0.19,61.48,39.56,61.48,42.58,0.78,0.6,9.21
2017-05-30,0.13,69.65,42.15,69.65,43.48,0.23,0.52,9.63
2017-05-31,0.11,73.66,42.82,73.66,44.33,1.35,0.49,9.97
2017-06-01,0.1,73.32,47.47,73.32,47.47,2.85,0.53,9.97
2017-06-02,0.16,69.22,48.58,69.22,49.71,2.29,0.58,9.72
2017-06-03,0.14,71.38,46.19,71.38,47.15,2.33,0.53,9.92
2017-06-04,0.12,75.69,43.21,75.69,46.26,2.66,0.48,9.96
2017-06-05,0.12,74.21,51.99,74.21,51.99,3.52,0.49,9.98
2017-06-06,0.09,67.88,51.76,67.88,51.76,1.52,0.55,9.95
2017-06-07,0.17,76.03,48.9,76.03,49.53,2.21,0.59,10.0
2017-06-08,0.14,78.39,50.55,78.39,50.55,2.4,0.58,9.88
2017-06-09,0.09,86.38,54.75,86.38,54.75,4.9,0.35,9.78
2017-06-10,0.09,86.1,62.03,86.1,62.03,3.16,0.29,9.95
2017-06-11,0.11,74.84,58.32,74.84,58.32,0.27,0.47,9.96
2017-06-12,0.17,82.85,56.32,82.85,56.32,4.37,0.51,9.88
2017-06-13,0.07,72.54,44.29,72.54,47.12,2.79,0.31,10.0
2017-06-14,0.1,79.29,47.7,79.29,49.85,4.02,0.27,9.95
2017-06-15,0.06,82.16,50.19,82.16,50.19,0.78,0.31,9.66
2017-06-16,0.05,85.85,54.23,85.85,54.23,5.7,0.3,9.75
2017-06-17,0.13,76.3,58.04,76.3,58.04,3.42,0.43,9.56
2017-06-18,0.14,79.39,53.6,79.39,53.6,1.19,0.42,9.68
2017-06-19,0.05,79.32,52.09,79.32,52.09,1.42,0.41,9.7
2017-06-20,0.08,90.48,55.5,90.48,55.5,1.52,0.34,9.73
2017-06-21,0.06,89.98,61.88,89.98,61.88,3.59,0.28,9.99
2017-06-22,0.06,84.52,60.66,84.52,60.66,1.4,0.36,9.92
2017-06-23,0.22,60.08,42.9,60.08,47.37,2.07,0.7,9.61
2017-06-24,0.23,69.69,46.42,69.69,46.94,2.32,0.59,9.63
2017-06-25,0.18,69.03,48.95,69.03,48.95,3.03,0.64,9.97
2017-06-26,0.1,82.11,49.74,82.11,49.74,1.56,0.51,9.69
2017-06-27,0.06,88.69,55.09,88.69,55.09,3.12,0.37,9.85
2017-06-28,0.06,81.83,54.37,81.83,54.37,2.48,0.34,9.91
2017-06-29,0.05,77.39,52.94,77.39,52.94,3.21,0.4,9.67
2017-06-30,0.21,69.39,50.62,69.39,50.62,1.7,0.58,9.42
